geneID	WT_Lac1	Mut_Lac1	WT_LNnT1	Mut_LNnT1	WT_Lac2	Mut_Lac2	WT_LNnT2	Mut_LNnT2	WT_Lac3	Mut_Lac3	WT_LNnT3	Mut_LNnT3
Blon_1455	39161.00482154164	39251.96722367982	56884.99437920754	55827.070399706354	54552.0614546144	46734.89799139263	54707.05943144832	56398.06275360027	29999.032999127754	38600.97885185161	35605.96069199093	39589.052088729404
Blon_1456	452.9999883994824	538.9990828861138	606.000264354588	566.9995247524525	631.0008827644068	590.0005099784621	559.0002822616491	562.0005319813381	357.00054483423787	489.99995374082454	348.9996072667942	365.00013587916993
Blon_1457	844.9991537525817	939.001360246919	970.0002355679042	913.0033297369083	1050.9993669323733	1033.9961099088484	898.0031261786108	941.9972071565543	541.0003911065259	840.9965686469311	532.0002130152336	634.0013435015609
Blon_1458	69.00004385057676	78.00013068936283	77.00007959679148	80.9999181061443	82.00000227305961	83.99999142996838	74.99993182933146	70.00004432222639	39.99997325172343	66.00001684931773	50.00004935510171	41.99998468106614
Blon_1459	39.999990724682235	42.0000280120757	49.00000457631571	34.000019401690494	50.000017574549666	51.00001394660015	45.00000168446969	39.00002512627791	21.000006933666366	44.00001664564651	38.00000718783939	23.00001337952718
Blon_1460	195.00000990084067	270.0000610779912	251.99991764974715	212.0000864558513	231.99975163241837	288.9999935058462	242.0000806144512	191.99979206190108	128.00012153358344	239.99999876081966	150.0000673612202	150.00006252037662
Blon_1461	83.99987530683498	94.99994925830426	100.99983183309595	81.00015042482234	99.99973817780408	115.00018905385264	73.00006179562831	76.0001354275846	45.00004842027499	77.00020663748897	37.0000108992283	46.999874178151565
Blon_1463	231.00009352055653	294.0002210783471	342.0004154997397	420.9997690174016	315.00030577741046	331.99968410704923	301.9999807898649	418.00014811460943	176.00016710867723	280.99992782848335	223.99990063997845	299.0000635336498
Blon_1464	479.00019480143163	606.0009848383377	664.9993295142825	645.0004192639415	687.9989641316777	684.999170802757	534.9999538486649	655.9995355914247	333.9999413474729	588.0007442806535	358.0000723305525	356.9998804927489
Blon_1465	47.000076241137656	59.00005407678789	68.99979352587778	55.00006763310042	53.999858287204766	68.99993747578038	44.99989871353022	35.99999525062072	41.99998653793481	50.000043471019666	29.00013021222587	39.00011948640998
Blon_1466	289.00089336788255	355.0007834706362	429.000975571444	436.9992015433264	373.0012993986942	454.99957055166834	419.00000326296845	424.99897170103606	196.99958442257002	346.0006538496679	263.0005538246645	283.00032223695405
Blon_1467	407.99963480299954	486.00003281957163	577.0004244293011	676.9994603697895	544.0005601931671	530.9991135568955	470.9995034529237	705.9995596273718	275.9997718057476	454.99987807402573	272.00067967906585	358.00015904683335
Blon_1468	45.00004340886803	83.00007874494878	80.99998639398648	89.00001234070594	72.99995230117374	88.99994539799226	79.99997827561153	78.00003980832248	37.00003962576823	76.9999578335211	35.00002244295845	57.99997335185528
Blon_1469	0.9999997237930892	2.00000233261671	8.000008577823913	4.000005259988998	4.000001767983171	4.000001253880133	3.0000021928646112	10.000007729511506	2.000001005123117	0.999999602148692	5.999992692816784	5.000006217816014
Blon_1470	18.999998112113914	33.99996156437786	47.000004752132625	49.00001125022286	49.00007582732956	54.00005089487818	49.99995119821715	36.99997723337871	12.000010195115644	43.00012930683376	25.000057463585346	21.999917672955302
Blon_1471	106.99980122232601	120.00008070189367	186.9997798517009	225.99997117730348	139.00018097485554	106.00007471134604	148.00001174018038	213.00010737335458	53.00016269666848	103.99994638484205	119.00006470484652	140.99990439820533
Blon_1472	91.00005554352698	108.99993692150112	150.99992797135516	182.00001326527578	120.00016798892813	112.99997099823166	120.99990645587343	175.9998944688387	50.00008103647454	100.00007698988061	92.0000900315663	102.99996951129627
Blon_1473	23.999993228043262	32.99999568274145	17.999991091083647	15.000011185432335	30.999938305335625	42.99998243154739	17.999991690248702	16.999996077401367	15.00001334322346	41.00004939830998	14.00003016200567	14.000013129599441
Blon_1475	574.998973451212	513.00043713772	773.9978520155015	870.0023947751401	811.00176477018	653.0001409088192	618.0003893227725	890.0011019482419	384.00020577859135	517.0004245194724	420.00061482986496	553.9997410761714
Blon_1476	657.001012887669	629.9987125669137	889.0000680226049	1127.9997463427414	892.0013055939041	765.0005243113999	768.9986622941523	1110.9990962180086	398.0017377707642	619.9973217791538	545.9981272170131	762.9983345875206
Blon_1477	2088.996114981175	1890.9980964879899	2411.004054555986	3451.996193605135	2663.994527621914	2099.996781613311	2380.9974882646475	3586.0021891529846	1596.9971792777521	1835.9995725296046	1571.001176774742	2640.9982177572306
Blon_1478	589.9991255148241	696.0012437283863	783.0011887963701	876.0005726437067	764.0014022924953	786.9994896250611	783.0009629497242	838.999528938806	447.99988836884614	630.0007250642211	596.0006380467047	719.0001166876054
Blon_1479	357.0001373181037	677.9997759677658	571.0004185709032	501.99990764479116	499.00015884652953	789.9998896660787	536.9998661512159	529.999976422299	272.9995528992352	617.00055307963	318.9999027398752	329.0003008151465
Blon_1480	290.9994473987329	661.0000723384969	666.0005941358542	598.999752861546	364.000598853837	797.0000284296475	538.9997140440939	579.9997630084589	160.9998576969763	710.0002553917986	378.0004802088015	401.0003699528488
Blon_1481	2413.0001674098066	3784.0076001678485	3447.9974673787583	2894.9950748837505	3351.994774110424	4680.003023264765	3349.9962069519547	3022.9956259999262	2034.0028404265433	3837.0011776142464	2183.99942546033	2245.003374576481
Blon_1482	6776.999847101571	10330.992814939065	9394.009979887118	8024.0180671778435	9762.0112524967	12612.985003886732	8666.02162542056	8039.985320774424	5293.996250579944	10284.010733231686	6296.9929703244525	6233.000888828781
Blon_1483	423.00017319847285	475.00025425071914	520.0002040433563	430.99962976269137	529.0000384940986	555.9998243352945	543.999865156093	397.9999081650437	362.9998607035586	473.9998518892049	298.0001059141281	298.9999725523125
Blon_1484	571.9998239071941	775.0002307607724	874.9998735548184	985.9998548647617	802.9997465807023	953.9995973506251	886.0004892445074	826.9996126362782	451.00013484448806	818.999814370586	538.000131726994	693.0002966935102
Blon_1485	553.9999852822465	670.9998998566384	665.99996275467	626.9997437331904	815.0004046754428	766.9994548802072	740.0007229256569	598.9997266086764	456.0002459727737	687.0005922252567	500.9999505925868	449.00030861135014
