target_id	length	eff_length	est_counts	tpm
Blon_0173	3084	2885	3739	143.247
Blon_0174	702	503	379	83.2812
Blon_0175	1152	953	799	92.6679
Blon_0176	630	431	520	133.353
Blon_0177	261	62.0706	1888	3361.95
Blon_0178	1650	1451	3845	292.89
Blon_0179	555	356	572	177.591
Blon_0180	1602	1403	2958	233.032
Blon_0181	1518	1319	7568	634.179
Blon_0182	348	149	399	295.98
Blon_0183	618	419	1295	341.611
Blon_0184	1422	1223	428	38.6806
Blon_0185	1452	1253	1749	154.282
Blon_0186	660	461	249	59.6999
Blon_0187	909	710	526	81.8847
Blon_0188	876	677	699	114.121
Blon_0189	1128	929	1371	163.116
Blon_0190	417	218	135	68.4467
Blon_0191	1521	1322	4773	399.058
Blon_R0006	76	3.6135	0	0
Blon_R0007	75	3.59105	0	0
Blon_0192	498	299	323	119.401
Blon_0193	849	650	179	30.4379
Blon_0194	714	515	244	52.3671
Blon_R0008	88	3.91013	0	0
Blon_0195	1644	1445	100	7.64905
Blon_0196	1929	1730	382	24.4058
Blon_0197	696	497	347	77.17
Blon_0198	1269	1070	488	50.4094
Blon_0199	1305	1106	363	36.2766
Blon_0200	1224	1025	453	48.8483
Blon_0201	798	599	272	50.19
Blon_0202	564	365	294	89.0287
Blon_0203	600	401	212	58.4342
Blon_0204	2163	1964	582	32.7534
Blon_0205	2631	2432	920	41.8119
Blon_0206	1287	1088	2847	289.224
Blon_0207	1530	1331	3745	310.992
Blon_0208	843	644	349	59.8984
Blon_0209	1026	827	629	84.0661
Blon_0210	1539	1340	989	81.5769
Blon_R0009	76	3.6135	0	0
Blon_0211	567	368	142	42.6497
Blon_0212	156	7.59116	0	0
Blon_0213	300	101	58	63.472
Blon_0214	1263	1064	211	21.9188
Blon_0215	669	470	275	64.6711
Blon_0216	1167	968	436	49.7836
Blon_0217	285	86.0009	36	46.2674
Blon_0218	1638	1439	1585	121.743
Blon_0219	1035	836	600	79.3269
Blon_0220	930	731	429	64.8657
Blon_0221	294	95.0001	148	172.192
Blon_0222	1263	1064	2084	216.487
Blon_0223	1296	1097	2290	230.73
Blon_0224	339	140	501	395.535
Blon_0225	1842	1643	441	29.6672
Blon_0226	1446	1247	309	27.3885
Blon_0227	1461	1262	1031	90.2973
Blon_0228	1482	1283	838	72.1926
Blon_0229	753	554	375	74.8164
Blon_0230	288	89.0004	509	632.122
Blon_0231	1821	1622	2688	183.17
Blon_0232	837	638	431	74.6676
Blon_0233	1014	815	2226	301.886
Blon_0234	291	92.0002	2674	3212.54
Blon_0235	660	461	12270	2941.84
Blon_0236	249	50.3754	4521	9919.55
Blon_0237	447	248	10848	4834.74
Blon_R0010	74	3.56892	0	0
Blon_0238	237	39.4185	39	109.355
Blon_0239	693	494	65	14.5433
Blon_0240	705	506	75	16.3827
Blon_0241	771	572	108	20.8691
Blon_0242	933	734	79	11.8962
Blon_0243	603	404	160	43.7738
Blon_0244	1179	980	318	35.8655
Blon_0245	1206	1007	502	55.0998
Blon_0247	1218	1019	188.5	20.4462
Blon_0248	1350	1151	327.459	31.4454
Blon_0249	249	50.3754	11	24.1352
Blon_0250	735	536	1431	295.087
Blon_0251	2667	2468	2018	90.3757
Blon_0252	282	83.0016	119	158.466
Blon_0253	1425	1226	622	56.0758
Blon_0254	630	431	440	112.837
Blon_0255	849	650	433	73.6292
Blon_0256	363	164	36	24.2624
Blon_0257	969	770	27	3.87569
Blon_0258	351	152	1453	1056.57
Blon_0259	1542	1343	7385	607.785
Blon_0260	1500	1301	8981	762.997
Blon_0261	1065	866	4171	532.351
Blon_0262	315	116	625	595.522
Blon_0263	1872	1673	1587	104.847
Blon_0264	1614	1415	5906	461.331
Blon_0265	2064	1865	6001	355.648
Blon_0266	1149	950	1459	169.749
Blon_0267	1446	1247	382	33.8589
Blon_0268	1821	1622	525	35.7754
Blon_0270	1359	1160	188	17.9133
Blon_0271	1464	1265	136	11.8829
Blon_0273	390	191	376	217.586
Blon_0274	2043	1844	1388	83.1963
Blon_0275	2736	2537	10720	467.035
Blon_0276	1467	1268	666	58.0538
Blon_0277	687	488	312	70.666
Blon_0278	801	602	1310	240.52
Blon_0279	705	506	1213	264.963
Blon_0280	579	380	1757	511.05
Blon_0281	495	296	4537	1694.15
Blon_0282	2094	1895	3152	183.845
Blon_0283	1968	1769	263	16.4325
Blon_0284	162	8.26769	0	0
Blon_0285	735	536	50	10.3105
Blon_0286	348	149	7	5.19263
Blon_0287	888	689	85.9731	13.7917
Blon_0288	1224	1025	152	16.3906
Blon_0290	501	302	17	6.22182
Blon_0291	396	197	23	12.9044
Blon_0292	552	353	57	17.8474
Blon_0293	216	24.1385	0	0
Blon_0294	192	14.0216	1	7.88276
Blon_0295	411	212	8	4.1709
Blon_0296	849	650	33	5.61146
Blon_0297	168	9.06081	0	0
Blon_0298	1068	869	71	9.03055
Blon_R0011	77	3.63627	0	0
Blon_0299	132	5.68809	0	0
Blon_0300	285	86.0009	213	273.749
Blon_0301	282	83.0016	125	166.456
Blon_0302	1035	836	509	67.2957
Blon_0303	813	614	4590	826.266
Blon_0304	231	34.449	1477	4738.93
Blon_0305	519	320	10941	3779.05
Blon_0306	837	638	14340	2484.3
Blon_0307	1632	1433	38199	2946.33
Blon_0308	924	725	16461	2509.54
Blon_0309	1473	1274	28934	2510.24
Blon_0310	294	95.0001	3441	4003.47
Blon_0311	771	572	696	134.49
Blon_0312	990	791	1630	227.765
Blon_0313	1071	872	2366	299.898
Blon_0314	1008	809	1760	240.458
Blon_0315	975	776	1418	201.971
Blon_0316	627	428	603	155.722
Blon_R0012	76	3.6135	0	0
Blon_0317	390	191	210	121.524
Blon_0318	993	794	973	135.447
Blon_0319	1002	803	1516	208.67
Blon_0320	1188	989	2081	232.569
Blon_0321	1167	968	467	53.3233
Blon_0322	948	749	94	13.8714
Blon_0323	822	623	64	11.3545
Blon_0324	1131	932	83	9.84323
Blon_0325	1044	845	450	58.8615
Blon_0326	798	599	556	102.594
Blon_0327	1434	1235	519	46.449
Blon_0328	717	518	230	49.0765
Blon_0329	1413	1214	378	34.4151
Blon_0330	495	296	45	16.8034
Blon_0331	210	20.9285	17	89.7815
Blon_R0013	73	3.5471	0	0
Blon_R0014	72	3.52559	0	0
Blon_R0015	76	3.6135	0	0
Blon_0332	345	146	1555	1177.21
Blon_0334	324	125	274	242.279
Blon_0335	744	545	431	87.409
Blon_0336	1278	1079	539	55.2132
Blon_0337	1017	818	1064	143.769
Blon_0338	195	14.9308	3942	29181.6
Blon_0339	2835	2636	1619	67.8855
Blon_0340	519	320	22	7.59886
Blon_0341	912	713	68.5	10.6188
Blon_0342	978	779	51.5	7.3071
Blon_0343	1410	1211	50	4.56353
Blon_0344	630	431	5.84423	1.49874
Blon_0345	1224	1025	81	8.73447
Blon_0346	2025	1826	536.027	32.446
Blon_0347	1179	980	216	24.3615
Blon_0348	600	401	233.926	64.4777
Blon_0349	612	413	235	62.8917
Blon_0350	816	617	440	78.8212
Blon_0351	1647	1448	1240	94.6517
Blon_0352	981	782	899	127.066
Blon_0353	876	677	1530	249.792
Blon_0354	678	479	1012	233.518
Blon_0355	1560	1361	6022	489.055
Blon_0356	1344	1145	3298	318.362
Blon_0357	1173	974	1804	204.717
Blon_0358	1134	935	663	78.375
Blon_0359	714	515	462	99.154
Blon_0360	1365	1166	874	82.8492
Blon_0361	1380	1181	1219	114.085
Blon_0362	771	572	485	93.7176
Blon_0363	1134	935	4076	481.835
Blon_0364	954	755	1217	178.164
Blon_0365	999	800	1509	208.485
Blon_0366	780	581	1048	199.37
Blon_0367	579	380	495	143.978
Blon_0368	2271	2072	974	51.9571
Blon_0372	921	722	1343	205.596
Blon_0373	1056	857	1167	150.51
Blon_0374	987	788	654	91.7333
Blon_0375	1266	1067	582	60.2884
Blon_0376	933	734	130	19.5759
Blon_0377	834	635	133	23.1501
Blon_0378	1968	1769	356	22.2432
Blon_0379	1218	1019	318	34.4928
Blon_0380	294	95.0001	56	65.1538
Blon_0381	615	416	1208	320.959
Blon_0382	234	36.8813	6570	19689.5
Blon_0383	462	263	14914	6267.78
Blon_0384	798	599	769	141.898
Blon_0385	1395	1196	609	56.281
Blon_0386	1101	902	1162	142.389
Blon_0387	630	431	556	142.585
Blon_0388	1206	1007	1275	139.945
Blon_0389	468	269	914	375.551
Blon_0390	1110	911	1408	170.828
Blon_0391	1653	1454	3189	242.418
Blon_0392	909	710	452	70.3648
Blon_0393	1650	1451	1993	151.815
Blon_0394	729	530	666	138.891
Blon_0395	2277	2078	1321	70.264
Blon_0396	420	221	160	80.0209
Blon_0397	279	80.003	37	51.1177
Blon_0398	555	356	1527	474.094
Blon_0399	1932	1733	4040	257.667
Blon_0400	729	530	1087	226.688
Blon_0401	195	14.9308	1700	12584.7
Blon_0402	630	431	605	155.151
Blon_0403	891	692	860	137.362
Blon_0404	501	302	511	187.021
Blon_0405	294	95.0001	236	274.577
Blon_0406	1011	812	768	104.54
Blon_0407	429	230	65	31.2364
Blon_0408	627	428	225	58.1051
Blon_0409	1323	1124	904	88.8951
Blon_0410	843	644	300	51.4886
Blon_0411	777	578	1682	321.643
Blon_0412	759	560	1468	289.743
Blon_R0016	73	3.5471	0	0
Blon_0413	1269	1070	1827	188.725
Blon_0414	1311	1112	1718	170.763
Blon_0415	1281	1082	1359	138.825
Blon_0416	1002	803	453	62.3531
Blon_R0017	84	3.8053	0	0
Blon_R0018	73	3.5471	0	0
Blon_0417	1698	1499	31143	2296.33
Blon_0418	1413	1214	814	74.1108
Blon_0419	1785	1586	1078	75.1261
Blon_0420	366	167	8568	5670.72
Blon_0421	840	641	751	129.496
Blon_0422	840	641	335	57.7647
Blon_0423	1116	917	376	45.3204
Blon_0425	1218	1019	188.5	20.4462
Blon_0426	1350	1151	235.541	22.6186
Blon_0427	1824	1625	2922	198.748
Blon_0431	2220	2021	615	33.6344
Blon_0432	1263	1064	302	31.3719
Blon_0433	738	539	115	23.5822
Blon_0434	408	209	25	13.2212
Blon_0435	1953	1754	131	8.255
Blon_0436	648	449	64	15.7547
Blon_0437	405	206	13	6.97512
Blon_0438	618	419	74	19.5206
Blon_0439	1113	914	456	55.1435
Blon_0440	948	749	59	8.70654
Blon_0441	372	173	11	7.02784
Blon_0442	717	518	512	109.249
Blon_0443	744	545	278	56.3798
Blon_0444	1311	1112	868	86.2761
Blon_0445	1590	1391	561	44.577
Blon_0446	999	800	365	50.4288
Blon_0447	1089	890	95	11.798
Blon_0448	1209	1010	45	4.92455
Blon_0449	1077	878	36	4.53193
Blon_0450	705	506	25	5.46091
Blon_0451	645	446	15	3.71734
Blon_0453	759	560	18	3.55271
