target_id	length	eff_length	est_counts	tpm
Blon_0001	1503	1304	2955	211.212
Blon_0002	387	188	13	6.44501
Blon_0003	1125	926	2093	210.667
Blon_0004	1239	1040	615	55.1163
Blon_0005	471	272	129	44.2038
Blon_0006	2130	1931	6519	314.657
Blon_0007	2652	2453	8786	333.835
Blon_0008	567	368	2730	691.438
Blon_0009	1422	1223	530	40.3913
Blon_0010	225	29.9375	10	31.1332
Blon_0011	1347	1148	6989	567.429
Blon_0012	291	92.0002	339	343.439
Blon_0013	279	80.003	309	359.99
Blon_0016	261	62.0706	9	13.5143
Blon_0017	645	446	43	8.98612
Blon_0018	276	77.0053	11	13.3141
Blon_R0001	76	3.6135	0	0
Blon_R0002	74	3.56892	0	0
Blon_0019	1263	1064	318	27.8563
Blon_0020	777	578	169	27.2519
Blon_0021	804	605	276	42.5199
Blon_0022	765	566	289	47.5905
Blon_0023	939	740	489	61.5908
Blon_0024	870	671	1068	148.35
Blon_0025	720	521	756	135.245
Blon_0026	1287	1088	1123	96.2031
Blon_0027	807	608	292	44.7628
Blon_0028	1314	1115	566	47.3129
Blon_0029	480	281	8280	2746.39
Blon_0030	1344	1145	945	76.9245
Blon_0031	1137	938	365	36.2684
Blon_0034	630	431	282	60.9832
Blon_0035	564	365	1498	382.523
Blon_0036	1917	1718	909	49.315
Blon_0037	1287	1088	1136	97.3168
Blon_0038	471	272	50	17.1332
Blon_0039	1356	1157	481.714	38.8056
Blon_0040	1245	1046	358	31.8999
Blon_0041	1563	1364	178	12.1631
Blon_0042	1023	824	183	20.6996
Blon_0043	1308	1109	163	13.6992
Blon_0044	906	707	35	4.6141
Blon_0045	879	680	75	10.2799
Blon_0046	1182	983	286	27.1176
Blon_0047	843	644	36	5.21021
Blon_0049	1224	1025	217	19.7321
Blon_0050	495	296	110	34.6369
Blon_0051	1650	1451	217	13.939
Blon_0053	1713	1514	1345	82.8009
Blon_0054	972	773	312	37.6195
Blon_0055	948	749	299	37.2073
Blon_0056	1920	1721	752	40.7263
Blon_0057	534	335	97	26.9877
Blon_0058	639	440	268	56.7702
Blon_0059	2754	2555	20040	731.047
Blon_0060	1881	1682	957	53.0303
Blon_0061	1662	1463	466	29.6879
Blon_0062	996	797	43	5.02862
Blon_0063	1482	1283	261	18.9606
Blon_0064	1092	893	1712	178.686
Blon_0065	387	188	674	334.149
Blon_0066	672	473	1184	233.308
Blon_0067	1152	953	792	77.4588
Blon_0068	1398	1199	548	42.599
Blon_0069	417	218	102	43.6096
Blon_0070	2526	2327	9847	394.408
Blon_0071	219	25.9389	348	1250.45
Blon_0072	855	656	394	55.9797
Blon_0073	471	272	1550	531.13
Blon_0074	801	602	775	119.99
Blon_0075	1143	944	983	97.0555
Blon_0076	645	446	882	184.32
Blon_0077	2088	1889	3754	185.225
Blon_0078	951	752	1246	154.432
Blon_0079	1467	1268	2143	157.522
Blon_0080	1560	1361	2325	159.222
Blon_0081	1695	1496	3910	243.604
Blon_0082	525	326	1091	311.922
Blon_0083	702	503	3316	614.448
Blon_0084	2373	2174	2409	103.28
Blon_0085	1092	893	974	101.659
Blon_0086	957	758	851	104.64
Blon_0087	1377	1178	4672	369.654
Blon_0088	2643	2444	8527	325.187
Blon_0089	975	776	1019	122.391
Blon_0090	600	401	648	150.615
Blon_0091	951	752	593	73.498
Blon_0092	1173	974	1112	106.41
Blon_0093	333	134	112	77.9025
Blon_0094	843	644	647	93.639
Blon_0095	423	224	74	30.7909
Blon_0096	615	416	708	158.627
Blon_0097	321	122	394	301.006
Blon_0098	348	149	363	227.069
Blon_0099	240	42.049	162	359.086
Blon_R0003	86	3.85692	0	0
Blon_0101	1314	1115	968	80.9168
Blon_0102	2052	1853	12304	618.884
Blon_0103	2163	1964	4166	197.704
Blon_0104	1302	1103	246	20.7873
Blon_0105	885	686	188	25.543
Blon_0106	1116	917	267	27.1382
Blon_0107	813	614	146	22.1627
Blon_0108	711	512	132	24.0294
Blon_0109	975	776	515	61.8563
Blon_0110	699	500	272	50.7034
Blon_0111	1722	1523	737	45.1031
Blon_0112	666	467	273	54.4859
Blon_0113	822	623	685	102.48
Blon_0114	612	413	181	40.8476
Blon_0115	855	656	201	28.5582
Blon_0116	1452	1253	3967	295.087
Blon_0117	939	740	4218	531.268
Blon_R0004	74	3.56892	0	0
Blon_0118	1176	977	1743	166.28
Blon_0119	639	440	559	118.412
Blon_0120	1089	890	954	99.9072
Blon_0121	627	428	291	63.3706
Blon_0122	189	13.1915	11	77.7205
Blon_0123	1287	1088	4305	368.793
Blon_0124	1515	1316	980	69.4079
Blon_0125	1041	842	607	67.1916
Blon_0126	396	197	133	62.9251
Blon_0127	1086	887	345	36.2522
Blon_0128	1527	1328	398	27.9334
Blon_0129	1638	1439	1631	105.641
Blon_0130	1368	1169	796	63.4654
Blon_0131	1053	854	3254.99	355.247
Blon_0132	594	395	616	145.352
Blon_0133	735	536	1305	226.926
Blon_0134	567	368	1717	434.871
Blon_0135	366	167	27	15.069
Blon_0136	1053	854	6598.01	720.101
Blon_0137	1818	1619	1178	67.8167
Blon_0138	1035	836	948	105.692
Blon_0139	2238	2039	6436	294.196
Blon_0140	2079	1880	201	9.96498
Blon_0141	1896	1697	13134	721.363
Blon_0142	687	488	3845	734.37
Blon_0143	1011	812	3490	400.597
Blon_0144	588	389	542	129.864
Blon_0145	1353	1154	301	24.3108
Blon_0146	1122	923	493	49.7833
Blon_0147	1500	1301	352	25.2176
Blon_0148	804	605	236	36.3576
Blon_0149	672	473	412	81.1848
Blon_0150	726	527	1046	184.995
Blon_0151	951	752	71	8.79992
Blon_0152	1068	869	33	3.53942
Blon_0153	654	455	33	6.75991
Blon_0154	603	404	18	4.15269
Blon_0155	288	89.0004	8	8.37792
Blon_0156	387	188	14	6.94079
Blon_0157	378	179	21	10.9346
Blon_0158	1131	932	912	91.2047
Blon_0159	600	401	236	54.8537
Blon_0160	2772	2573	1839	66.6163
Blon_0161	603	404	263	60.6754
Blon_0162	1134	935	282	28.111
Blon_0163	492	293	87	27.6752
Blon_0164	765	566	1304	214.733
Blon_0165	567	368	695	176.025
Blon_0166	1095	896	1439	149.689
Blon_0167	621	422	494	109.107
Blon_0168	1581	1382	1625	109.593
Blon_0169	510	311	122	36.5627
Blon_0170	1917	1718	6257	339.454
Blon_0171	2322	2123	2737	120.161
Blon_0172	963	764	1119	136.513
Blon_0173	3084	2885	4525	146.188
Blon_0174	702	503	429	79.4928
Blon_0175	1152	953	955	93.4004
Blon_0176	630	431	600	129.752
Blon_0177	261	62.0706	2051	3079.77
Blon_0178	1650	1451	4846	311.282
Blon_0179	555	356	662	173.319
Blon_0180	1602	1403	3553	236.035
Blon_0181	1518	1319	9073	641.128
Blon_0182	348	149	418	261.474
Blon_0183	618	419	1498	333.224
Blon_0184	1422	1223	485	36.9618
Blon_0185	1452	1253	2007	149.291
Blon_0186	660	461	266	53.7798
Blon_0187	909	710	583	76.533
Blon_0188	876	677	817	112.479
Blon_0189	1128	929	1562	156.713
Blon_0190	417	218	152	64.9869
Blon_0191	1521	1322	5786	407.93
Blon_R0006	76	3.6135	0	0
Blon_R0007	75	3.59105	0	0
Blon_0192	498	299	347	108.167
Blon_0193	849	650	214	30.6859
Blon_0194	714	515	267	48.3217
Blon_R0008	88	3.91013	0	0
Blon_0195	1644	1445	123	7.9337
Blon_0196	1929	1730	417	22.4661
Blon_0197	696	497	418	78.3896
Blon_0198	1269	1070	584	50.8707
Blon_0199	1305	1106	447	37.6696
Blon_0200	1224	1025	504	45.8295
Blon_0201	798	599	304	47.3026
Blon_0202	564	365	355	90.6513
Blon_0203	600	401	222	51.5997
Blon_0204	2163	1964	638	30.2773
Blon_0205	2631	2432	1100	42.1568
Blon_0206	1287	1088	3310	283.555
Blon_0207	1530	1331	4294	300.692
Blon_0208	843	644	379	54.8519
Blon_0209	1026	827	842	94.8954
Blon_0210	1539	1340	1202	83.6061
Blon_R0009	76	3.6135	0	0
Blon_0211	567	368	172	43.5631
Blon_0212	156	7.59116	0	0
Blon_0213	300	101	58	53.5236
Blon_0214	1263	1064	238	20.8484
Blon_0215	669	470	286	56.7161
Blon_0216	1167	968	457	44.0027
Blon_0217	285	86.0009	54	58.5234
Blon_0218	1638	1439	1849	119.761
Blon_0219	1035	836	696	77.5964
Blon_0220	930	731	525	66.9392
Blon_0221	294	95.0001	195	191.315
Blon_0222	1263	1064	2434	213.215
Blon_0223	1296	1097	2651	225.238
Blon_0224	339	140	616	410.101
Blon_0225	1842	1643	532	30.1795
Blon_0226	1446	1247	337	25.1885
Blon_0227	1461	1262	1121	82.7913
Blon_0228	1482	1283	1039	75.4792
Blon_0229	753	554	470	79.0727
Blon_0230	288	89.0004	610	638.816
Blon_0231	1821	1622	3163	181.755
Blon_0232	837	638	563	82.2481
Blon_0233	1014	815	2592	296.426
Blon_0234	291	92.0002	3111	3151.73
Blon_0235	660	461	14880	3008.43
Blon_0236	249	50.3754	5477	10133.6
Blon_0237	447	248	13490	5069.89
Blon_R0010	74	3.56892	0	0
Blon_0238	237	39.4185	33	78.0284
Blon_0239	693	494	67	12.6411
Blon_0240	705	506	88	16.2095
Blon_0241	771	572	113	18.4128
Blon_0242	933	734	94	11.9363
Blon_0243	603	404	194	44.7568
Blon_0244	1179	980	385	36.6162
Blon_0245	1206	1007	540	49.9807
Blon_0247	1218	1019	205	18.7507
Blon_0248	1350	1151	357.933	28.9844
Blon_0249	249	50.3754	8	14.8017
Blon_0250	735	536	1649	286.744
Blon_0251	2667	2468	2258	85.2741
Blon_0252	282	83.0016	101	113.416
Blon_0253	1425	1226	687	52.2282
Blon_0254	630	431	593	128.238
Blon_0255	849	650	491	70.4055
Blon_0256	363	164	48	27.2795
Blon_0257	969	770	31	3.7524
Blon_0258	351	152	1924	1179.78
Blon_0259	1542	1343	8829	612.737
Blon_0260	1500	1301	11215	803.453
Blon_0261	1065	866	4952	532.968
Blon_0262	315	116	744	597.796
Blon_0263	1872	1673	1844	102.731
Blon_0264	1614	1415	7192	473.731
Blon_0265	2064	1865	7322	365.923
Blon_0266	1149	950	1657	162.569
Blon_0267	1446	1247	464	34.6809
Blon_0268	1821	1622	645	37.0636
Blon_0270	1359	1160	195	15.6681
Blon_0271	1464	1265	165	12.1572
Blon_0273	390	191	371	181.042
Blon_0274	2043	1844	1583	80.0126
Blon_0275	2736	2537	13251	486.818
Blon_0276	1467	1268	763	56.0846
Blon_0277	687	488	371	70.8586
Blon_0278	801	602	1496	231.619
Blon_0279	705	506	1511	278.325
Blon_0280	579	380	1916	469.949
Blon_0281	495	296	5389	1696.89
Blon_0282	2094	1895	3696	181.786
Blon_0283	1968	1769	315	16.5967
Blon_0284	162	8.26769	0	0
Blon_0285	735	536	36	6.26003
Blon_0286	348	149	8	5.00429
Blon_0287	888	689	77.6873	10.5092
Blon_0288	1224	1025	161	14.64
Blon_0290	501	302	20	6.17251
Blon_0291	396	197	26	12.3011
Blon_0292	552	353	57	15.0501
Blon_0293	216	24.1385	2	7.72251
Blon_0294	192	14.0216	1	6.64724
Blon_0295	411	212	11	4.8361
Blon_0296	849	650	29	4.15837
Blon_0297	168	9.06081	0	0
Blon_0298	1068	869	69	7.40061
Blon_R0011	77	3.63627	0	0
Blon_0299	132	5.68809	0	0
Blon_0300	285	86.0009	273	295.868
Blon_0301	282	83.0016	172	193.144
Blon_0302	1035	836	542	60.4271
Blon_0303	813	614	5327	808.635
Blon_0304	231	34.449	1850	5005.35
Blon_0305	519	320	13638	3972.27
Blon_0306	837	638	17274	2523.54
Blon_0307	1632	1433	46800	3043.95
Blon_0308	924	725	20135	2588.52
Blon_0309	1473	1274	35497	2596.93
Blon_0310	294	95.0001	4266	4185.38
Blon_0311	771	572	777	126.609
Blon_0312	990	791	1811	213.393
Blon_0313	1071	872	2762	295.22
Blon_0314	1008	809	2142	246.78
Blon_0315	975	776	1634	196.259
Blon_0316	627	428	686	149.389
Blon_R0012	76	3.6135	0	0
Blon_0317	390	191	287	140.051
Blon_0318	993	794	1070	125.603
Blon_0319	1002	803	1803	209.276
Blon_0320	1188	989	2369	223.258
Blon_0321	1167	968	543	52.2833
Blon_0322	948	749	128	15.9282
Blon_0323	822	623	71	10.6221
Blon_0324	1131	932	96	9.6005
Blon_0325	1044	845	554	61.1071
Blon_0326	798	599	609	94.7608
Blon_0327	1434	1235	650	49.0552
Blon_0328	717	518	244	43.9034
Blon_0329	1413	1214	467	35.8539
Blon_0330	495	296	47	14.7994
Blon_0331	210	20.9285	10	44.5349
Blon_R0013	73	3.5471	0	0
Blon_R0014	72	3.52559	0	0
Blon_R0015	76	3.6135	0	0
Blon_0332	345	146	1702	1086.54
Blon_0334	324	125	285	212.507
Blon_0335	744	545	459	78.4973
Blon_0336	1278	1079	616	53.2105
Blon_0337	1017	818	1320	150.404
Blon_0338	195	14.9308	4677	29196
Blon_0339	2835	2636	1990	70.3633
Blon_0340	519	320	28	8.15542
Blon_0341	912	713	75	9.80415
Blon_0342	978	779	66	7.89669
Blon_0343	1410	1211	65	5.00274
Blon_0344	630	431	8.30581	1.79615
Blon_0345	1224	1025	73	6.638
Blon_0346	2025	1826	649.313	33.143
Blon_0347	1179	980	231	21.9697
Blon_0348	600	401	304.902	70.8686
Blon_0349	612	413	263	59.3532
Blon_0350	816	617	493	74.4732
Blon_0351	1647	1448	1448	93.2048
Blon_0352	981	782	1061	126.458
Blon_0353	876	677	1901	261.717
Blon_0354	678	479	1159	225.521
Blon_0355	1560	1361	7551	517.112
Blon_0356	1344	1145	3924	319.42
Blon_0357	1173	974	2027	193.969
Blon_0358	1134	935	878	87.5228
Blon_0359	714	515	550	99.5391
Blon_0360	1365	1166	1049	83.8524
Blon_0361	1380	1181	1476	116.486
Blon_0362	771	572	595	96.9526
Blon_0363	1134	935	4691	467.619
Blon_0364	954	755	1310	161.72
Blon_0365	999	800	1863	217.051
Blon_0366	780	581	1263	202.612
Blon_0367	579	380	535	131.223
Blon_0368	2271	2072	1050	47.2322
Blon_0372	921	722	1552	200.352
