strain	sugar	time	replicate	conc
WT	LNT	0	1	1.815066146
WT	LNT	0	2	1.800342465
WT	LNT	0	3	2.079936789
WT	LNT	4	1	1.842113497
WT	LNT	4	2	1.892751401
WT	LNT	4	3	1.936199474
WT	LNT	8	1	0.585429868
WT	LNT	8	2	0.544821208
WT	LNT	8	3	0.542516648
WT	LNT	12	1	0.002119212
WT	LNT	12	2	0.001921575
WT	LNT	12	3	0.002748281
WT	LNT	24	1	0.001762933
WT	LNT	24	2	0.000971833
WT	LNT	24	3	0.001754718
Mut	LNT	0	1	1.752848135
Mut	LNT	0	2	2.291270753
Mut	LNT	0	3	2.454499227
Mut	LNT	4	1	1.383014416
Mut	LNT	4	2	1.345095211
Mut	LNT	4	3	1.358888278
Mut	LNT	8	1	0.009495807
Mut	LNT	8	2	0.010323414
Mut	LNT	8	3	0.01069706
Mut	LNT	12	1	0.001847892
Mut	LNT	12	2	0.003136079
Mut	LNT	12	3	0.00163057
Mut	LNT	24	1	0.00080347
Mut	LNT	24	2	0.007561487
Mut	LNT	24	3	0.00156952
WT	LNnT	0	1	0.556048495
WT	LNnT	0	2	0.569189133
WT	LNnT	0	3	0.644519537
WT	LNnT	4	1	0.555894337
WT	LNnT	4	2	0.58688805
WT	LNnT	4	3	0.621530764
WT	LNnT	8	1	0.12316741
WT	LNnT	8	2	0.105132554
WT	LNnT	8	3	0.112188071
WT	LNnT	12	1	0.002914884
WT	LNnT	12	2	0.002704689
WT	LNnT	12	3	0.002808105
WT	LNnT	24	1	0.003028819
WT	LNnT	24	2	0.002798301
WT	LNnT	24	3	0.001937919
Mut	LNnT	0	1	0.557577198
Mut	LNnT	0	2	0.73803391
Mut	LNnT	0	3	0.801709083
Mut	LNnT	4	1	0.682675058
Mut	LNnT	4	2	0.622223667
Mut	LNnT	4	3	0.640168267
Mut	LNnT	8	1	0.425743902
Mut	LNnT	8	2	0.444957157
Mut	LNnT	8	3	0.437742744
Mut	LNnT	12	1	0.09677151
Mut	LNnT	12	2	0.092392045
Mut	LNnT	12	3	0.101376774
Mut	LNnT	24	1	0.001467852
Mut	LNnT	24	2	0.002276329
Mut	LNnT	24	3	0.001944398
WT	LNFP I	0	1	0.946586192
WT	LNFP I	0	2	0.951088365
WT	LNFP I	0	3	1.100934999
WT	LNFP I	4	1	1.030396845
WT	LNFP I	4	2	1.05154918
WT	LNFP I	4	3	1.075264359
WT	LNFP I	8	1	0.767873641
WT	LNFP I	8	2	0.727035444
WT	LNFP I	8	3	0.754400428
WT	LNFP I	12	1	0.079932817
WT	LNFP I	12	2	0.066511355
WT	LNFP I	12	3	0.081212754
WT	LNFP I	24	1	0
WT	LNFP I	24	2	7.76E-05
WT	LNFP I	24	3	7.23E-05
Mut	LNFP I	0	1	0.93973914
Mut	LNFP I	0	2	1.237662298
Mut	LNFP I	0	3	1.335322451
Mut	LNFP I	4	1	1.207055253
Mut	LNFP I	4	2	1.19191957
Mut	LNFP I	4	3	1.213102994
Mut	LNFP I	8	1	1.092228495
Mut	LNFP I	8	2	1.137201384
Mut	LNFP I	8	3	1.112867948
Mut	LNFP I	12	1	0.862215556
Mut	LNFP I	12	2	0.892611664
Mut	LNFP I	12	3	0.911386766
Mut	LNFP I	24	1	0.194322924
Mut	LNFP I	24	2	0.189443539
Mut	LNFP I	24	3	0.183568098
WT	LNFP II/III	0	1	1.064123355
WT	LNFP II/III	0	2	1.050650922
WT	LNFP II/III	0	3	1.211034342
WT	LNFP II/III	4	1	1.098450447
WT	LNFP II/III	4	2	1.135783827
WT	LNFP II/III	4	3	1.152654759
WT	LNFP II/III	8	1	0.612767253
WT	LNFP II/III	8	2	0.585350664
WT	LNFP II/III	8	3	0.607780653
WT	LNFP II/III	12	1	0.030824319
WT	LNFP II/III	12	2	0.030173899
WT	LNFP II/III	12	3	0.0304119
WT	LNFP II/III	24	1	0.006440772
WT	LNFP II/III	24	2	0.00622512
WT	LNFP II/III	24	3	0.005127349
Mut	LNFP II/III	0	1	1.021125635
Mut	LNFP II/III	0	2	1.336498929
Mut	LNFP II/III	0	3	1.441664217
Mut	LNFP II/III	4	1	1.334391036
Mut	LNFP II/III	4	2	1.307689108
Mut	LNFP II/III	4	3	1.329538291
Mut	LNFP II/III	8	1	1.136591186
Mut	LNFP II/III	8	2	1.171188139
Mut	LNFP II/III	8	3	1.149898198
Mut	LNFP II/III	12	1	0.808970855
Mut	LNFP II/III	12	2	0.807625788
Mut	LNFP II/III	12	3	0.84058953
Mut	LNFP II/III	24	1	0.238961113
Mut	LNFP II/III	24	2	0.240680576
Mut	LNFP II/III	24	3	0.233216963
WT	LNDFH II	0	1	0.569793327
WT	LNDFH II	0	2	0.554839914
WT	LNDFH II	0	3	0.644376719
WT	LNDFH II	4	1	0.584389224
WT	LNDFH II	4	2	0.622699231
WT	LNDFH II	4	3	0.63383887
WT	LNDFH II	8	1	0.537304137
WT	LNDFH II	8	2	0.516025211
WT	LNDFH II	8	3	0.532433678
WT	LNDFH II	12	1	0.158481826
WT	LNDFH II	12	2	0.150662704
WT	LNDFH II	12	3	0.156556419
WT	LNDFH II	24	1	0.001276594
WT	LNDFH II	24	2	0.00115837
WT	LNDFH II	24	3	0.001005868
Mut	LNDFH II	0	1	0.544269259
Mut	LNDFH II	0	2	0.716129183
Mut	LNDFH II	0	3	0.775621298
Mut	LNDFH II	4	1	0.720133145
Mut	LNDFH II	4	2	0.67881752
Mut	LNDFH II	4	3	0.720408902
Mut	LNDFH II	8	1	0.647958525
Mut	LNDFH II	8	2	0.674258968
Mut	LNDFH II	8	3	0.639644974
Mut	LNDFH II	12	1	0.530046749
Mut	LNDFH II	12	2	0.535650959
Mut	LNDFH II	12	3	0.563049315
Mut	LNDFH II	24	1	0.22386233
Mut	LNDFH II	24	2	0.240031894
Mut	LNDFH II	24	3	0.224490897
WT	LNDFH I	0	1	0.966043872
WT	LNDFH I	0	2	0.937191074
WT	LNDFH I	0	3	1.086557584
WT	LNDFH I	4	1	1.01015392
WT	LNDFH I	4	2	1.090756895
WT	LNDFH I	4	3	1.077249008
WT	LNDFH I	8	1	1.009709652
WT	LNDFH I	8	2	0.967761384
WT	LNDFH I	8	3	0.973038343
WT	LNDFH I	12	1	0.403480264
WT	LNDFH I	12	2	0.366203113
WT	LNDFH I	12	3	0.376661441
WT	LNDFH I	24	1	0.072005564
WT	LNDFH I	24	2	0.074751802
WT	LNDFH I	24	3	0.07006403
Mut	LNDFH I	0	1	0.935861821
Mut	LNDFH I	0	2	1.229060992
Mut	LNDFH I	0	3	1.296859922
Mut	LNDFH I	4	1	1.237952948
Mut	LNDFH I	4	2	1.201187397
Mut	LNDFH I	4	3	1.205879519
Mut	LNDFH I	8	1	1.155323637
Mut	LNDFH I	8	2	1.196189116
Mut	LNDFH I	8	3	1.175094128
Mut	LNDFH I	12	1	1.112459756
Mut	LNDFH I	12	2	1.121814674
Mut	LNDFH I	12	3	1.167298673
Mut	LNDFH I	24	1	0.677844175
Mut	LNDFH I	24	2	0.705647908
Mut	LNDFH I	24	3	0.669183165
WT	Fucose	0	1	0.063328063
WT	Fucose	0	2	0.058977018
WT	Fucose	0	3	0.068662093
WT	Fucose	4	1	0.172886026
WT	Fucose	4	2	0.172259815
WT	Fucose	4	3	0.16872557
WT	Fucose	8	1	0.74299393
WT	Fucose	8	2	0.737029743
WT	Fucose	8	3	0.749317003
WT	Fucose	12	1	0.607968531
WT	Fucose	12	2	0.603714936
WT	Fucose	12	3	0.583296591
WT	Fucose	24	1	0.071655177
WT	Fucose	24	2	0.067467384
WT	Fucose	24	3	0.072006538
Mut	Fucose	0	1	0.060633924
Mut	Fucose	0	2	0.061065376
Mut	Fucose	0	3	0.065795063
Mut	Fucose	4	1	0.141922464
Mut	Fucose	4	2	0.142039387
Mut	Fucose	4	3	0.139767739
Mut	Fucose	8	1	0.125020863
Mut	Fucose	8	2	0.125979104
Mut	Fucose	8	3	0.120896901
Mut	Fucose	12	1	0.098723382
Mut	Fucose	12	2	0.093817367
Mut	Fucose	12	3	0.092387853
Mut	Fucose	24	1	0.071968945
Mut	Fucose	24	2	0.076697391
Mut	Fucose	24	3	0.071758573
